dd,hr,Ts_C,RH,u,O3,precip,Rn,PPFD
335,13,14.09,0.5825,2.94,34.767678571428554,0.0,0.4969420242,315.4201459444444
335,14,13.58,0.6462,2.13,37.568809523809485,0.0,0.3357807776,213.1275213611111
335,15,12.53,0.72,1.65,38.89684523809522,0.0,0.2348774706,149.08195008333334
335,16,11.22,0.7744,1.71,36.39713095238092,0.0,0.05106032009,32.40911983333333
335,17,9.29,0.8737999999999999,1.79,24.456190476190447,0.0,0.0,0.0
335,18,8.8,0.9288,2.03,13.383428571428562,0.0,0.0,0.0
335,19,9.26,0.9388,2.61,9.505732142857132,0.0,0.0,0.0
335,20,8.81,0.9969,2.48,10.97995833333332,0.0,0.0,0.0
335,21,8.33,1.0,2.22,11.985803571428564,0.0,0.0,0.0
335,22,7.74,1.0,1.88,10.763607142857136,0.0,0.0,0.0
335,23,7.58,1.0,1.7,9.316827380952377,0.0,0.0,0.0
336,0,7.54,1.0,1.47,6.593583333333328,0.0,0.0,0.0
336,1,7.44,1.0,1.24,5.38933928571428,0.0,0.0,0.0
336,2,7.27,1.0,1.05,4.039249999999997,0.0,0.0,0.0
336,3,7.14,1.0,0.95,4.393642857142853,0.0,0.0,0.0
336,4,6.87,1.0,1.01,4.065898809523805,0.0,0.0,0.0
336,5,6.78,1.0,1.41,3.0787202380952357,0.0,0.0,0.0
336,6,6.77,0.9843999999999999,2.17,2.4223749999999975,0.0,0.0,0.0
336,7,6.8,0.9669,2.66,3.732410714285711,0.01,0.07831503322,49.70829191666666
336,8,7.08,0.9475,3.04,9.15745238095237,0.02,0.2247330362,142.64305216666665
336,9,7.91,0.9256,3.61,16.385083333333313,0.02,0.2766049101,175.56728319444446
336,10,9.58,0.8612000000000001,4.67,22.125553571428544,0.04,0.3612771221,229.31061780555555
336,11,10.54,0.7962,5.34,29.097261904761872,0.16,0.3870439859,245.6654188333333
336,12,10.3,0.7712,5.69,33.35874999999997,0.28,0.4270806868,271.0776026111111
336,13,9.65,0.7918999999999999,5.93,34.767678571428554,0.36,0.3963092354,251.54627861111106
336,14,8.93,0.8288,6.02,37.568809523809485,0.27,0.3491038009,221.58394030555553
336,15,7.79,0.8825,5.83,38.89684523809522,0.12,0.1981546177,125.77313930555553
336,16,6.86,0.9106000000000001,5.47,36.39713095238092,0.1,0.04341817904,27.558483083333332
336,17,6.37,0.9156,5.11,24.456190476190447,0.09,0.0,0.0
336,18,5.95,0.9244,4.74,13.383428571428562,0.05,0.0,0.0
336,19,5.4,0.9369,4.17,9.505732142857132,0.02,0.0,0.0
336,20,4.58,0.9662000000000001,3.37,10.97995833333332,0.0,0.0,0.0
336,21,3.98,0.9819,3.3,11.985803571428564,0.0,0.0,0.0
336,22,3.64,0.9843999999999999,3.49,10.763607142857136,0.0,0.0,0.0
336,23,3.58,0.9631000000000001,3.78,9.316827380952377,0.0,0.0,0.0
337,0,2.81,0.9887999999999999,3.09,6.593583333333328,0.0,0.0,0.0
337,1,2.69,0.9838,3.18,5.38933928571428,0.0,0.0,0.0
337,2,2.58,0.9669,3.22,4.039249999999997,0.0,0.0,0.0
337,3,2.31,0.96,2.82,4.393642857142853,0.01,0.0,0.0
337,4,2.36,0.9531000000000001,2.86,4.065898809523805,0.01,0.0,0.0
337,5,2.43,0.9488,2.87,3.0787202380952357,0.02,0.0,0.0
337,6,2.33,0.945,2.79,2.4223749999999975,0.02,0.0,0.0
337,7,2.24,0.9394,2.64,3.732410714285711,0.02,0.168059462,106.67107516666664
337,8,2.55,0.9175,2.52,9.15745238095237,0.0,0.5415775354,343.75129677777767
337,9,3.69,0.865,2.35,16.385083333333313,0.0,0.8831068253,560.5275266388888
337,10,5.88,0.7444,2.27,22.125553571428544,0.0,1.211718868,769.1048928333333
337,11,8.78,0.5488000000000001,2.4,29.097261904761872,0.0,1.314042397,834.0519101388887
337,12,10.72,0.4294,2.36,33.35874999999997,0.0,1.009912255,641.0137509166665
337,13,11.55,0.39380000000000004,2.35,34.767678571428554,0.0,0.8285973981,525.9291818333332
337,14,11.66,0.39,2.32,37.568809523809485,0.0,0.5631513663,357.4446866666666
337,15,11.08,0.4238,1.96,38.89684523809522,0.0,0.2779575013,176.42580291666664
337,16,8.17,0.6031,1.03,36.39713095238092,0.0,0.05275105864,33.48226916666666
337,17,5.76,0.6256,1.26,24.456190476190447,0.0,0.0,0.0
337,18,4.48,0.6694,1.32,13.383428571428562,0.0,0.0,0.0
337,19,3.44,0.7112,1.42,9.505732142857132,0.0,0.0,0.0
337,20,2.66,0.75,1.55,10.97995833333332,0.0,0.0,0.0
337,21,2.25,0.7862,1.58,11.985803571428564,0.0,0.0,0.0
337,22,2.75,0.7944,1.69,10.763607142857136,0.0,0.0,0.0
337,23,2.83,0.83,1.62,9.316827380952377,0.0,0.0,0.0
338,0,2.65,0.8862000000000001,1.49,6.593583333333328,0.0,0.0,0.0
338,1,2.15,0.9643999999999999,1.52,5.38933928571428,0.0,0.0,0.0
338,2,1.57,1.0,1.65,4.039249999999997,0.0,0.0,0.0
338,3,1.3,1.0,1.78,4.393642857142853,0.0,0.0,0.0
338,4,1.36,1.0,1.89,4.065898809523805,0.0,0.0,0.0
338,5,1.46,1.0,1.97,3.0787202380952357,0.0,0.0,0.0
338,6,1.64,1.0,2.08,2.4223749999999975,0.0,0.0,0.0
338,7,2.89,0.9606,2.63,3.732410714285711,0.0,0.1582531759,100.44680749999999
338,8,5.11,0.8244,3.63,9.15745238095237,0.0,0.6413311404,407.0671266111112
338,9,7.64,0.6694,4.02,16.385083333333313,0.0,1.110950821,705.1451741666666
338,10,9.28,0.585,3.8,22.125553571428544,0.0,1.390463802,882.5582744444444
338,11,10.12,0.5406,3.58,29.097261904761872,0.0,1.618916464,1027.5622555277778
338,12,10.58,0.5094,3.41,33.35874999999997,0.0,1.308632032,830.61783125
338,13,10.71,0.4894,3.29,34.767678571428554,0.0,1.107569343,702.9988748611112
338,14,10.33,0.4838,3.22,37.568809523809485,0.0,0.7719914549,490.00013177777777
338,15,9.47,0.4988,3.08,38.89684523809522,0.0,0.4074681127,258.62906599999997
