mm,dd,hr,vd,NOT_EXIST
3,90,8,0.013166413,0.013166413
3,90,9,0.014067269,0.014067269
3,90,10,0.009639608,0.009639608
3,90,11,0.013920061,0.013920061
3,90,12,0.010400572,0.010400572
3,90,13,0.01494794,0.01494794
3,90,14,0.01524099,0.01524099
3,90,15,0.01561892,0.01561892
3,90,16,0.008827136,0.008827136
3,90,17,0.010378189,0.010378189
3,90,18,0.011042354,0.011042354
3,90,19,0.011361184,0.011361184
3,90,20,0.010367428,0.010367428
3,90,21,0.013166149,0.013166149
3,90,22,0.013616872,0.013616872
3,90,23,0.012960439,0.012960439
3,91,0,0.01046616,0.01046616
3,91,1,0.011124633,0.011124633
3,91,2,0.013375329,0.013375329
3,91,3,0.012490699,0.012490699
3,91,4,0.01375482,0.01375482
3,91,5,0.007771126,0.007771126
3,91,6,0.012175406,0.012175406
3,91,7,0.014405857,0.014405857
3,91,8,0.00896426,0.00896426
3,91,9,0.012600816,0.012600816
3,91,10,0.00774438,0.00774438
3,91,11,0.009303282,0.009303282
3,91,12,0.010394088,0.010394088
3,91,13,0.011101625,0.011101625
3,91,14,0.009304099,0.009304099
3,91,15,0.013103901,0.013103901
3,91,16,0.008357472,0.008357472
3,91,17,0.00952408,0.00952408
3,91,18,0.007327141,0.007327141
3,91,19,0.013294015,0.013294015
3,91,20,0.00840919,0.00840919
3,91,21,0.009387312,0.009387312
3,91,22,0.010430912,0.010430912
3,91,23,0.006227227,0.006227227
3,92,0,0.009702902,0.009702902
3,92,1,0.012668278,0.012668278
3,92,2,0.006101047,0.006101047
3,92,3,0.008894112,0.008894112
3,92,4,0.007397496,0.007397496
3,92,5,0.006533215,0.006533215
3,92,6,0.005401583,0.005401583
3,92,7,0.003442941,0.003442941
3,92,8,0.009962176,0.009962176
3,92,9,0.004371569,0.004371569
3,92,10,0.011299048,0.011299048
3,92,11,0.00616752,0.00616752
3,92,12,0.010829915,0.010829915
3,92,13,0.007036201,0.007036201
3,92,14,0.009997233,0.009997233
3,92,15,0.007013391,0.007013391
3,92,16,0.006234105,0.006234105
3,92,17,0.006098692,0.006098692
3,92,18,0.008719584,0.008719584
3,92,19,0.006169307,0.006169307
3,92,20,0.009063007,0.009063007
3,92,21,0.008702352,0.008702352
3,92,22,0.007409917,0.007409917
3,92,23,0.010365539,0.010365539
3,93,0,0.01366247,0.01366247
3,93,1,0.008329346,0.008329346
3,93,2,0.012362997,0.012362997
3,93,3,0.008511428,0.008511428
3,93,4,0.008441758,0.008441758
3,93,5,0.013165586,0.013165586
3,93,6,0.011746415,0.011746415
3,93,7,0.010476866,0.010476866
3,93,8,0.012573274,0.012573274
3,93,9,0.012554031,0.012554031
3,93,10,0.009367791,0.009367791
3,93,11,0.014882491,0.014882491
3,93,12,0.010115732,0.010115732
3,93,13,0.00988821,0.00988821
3,93,14,0.008825533,0.008825533
3,93,15,0.01368799,0.01368799
3,93,16,0.008702284,0.008702284
3,93,17,0.012154559,0.012154559
3,93,18,0.014513413,0.014513413
3,93,19,0.007015334,0.007015334
3,93,20,0.012509699,0.012509699
3,93,21,0.013357255,0.013357255
3,93,22,0.009128385,0.009128385
3,93,23,0.0072447,0.0072447
3,94,0,0.013904985,0.013904985
3,94,1,0.014157309,0.014157309
3,94,2,0.012856661,0.012856661
3,94,3,0.012269968,0.012269968
3,94,4,0.008397108,0.008397108
3,94,5,0.014660892,0.014660892
3,94,6,0.007872961,0.007872961
3,94,7,0.008571246,0.008571246
3,94,8,0.011289603,0.011289603
3,94,9,0.011842673,0.011842673
3,94,10,0.012209237,0.012209237
3,94,11,0.014035936,0.014035936
3,94,12,0.006703054,0.006703054
3,94,13,0.007878021,0.007878021
3,94,14,0.007263484,0.007263484
3,94,15,0.009446416,0.009446416
3,94,16,0.010163893,0.010163893
3,94,17,0.009670323,0.009670323
3,94,18,0.007585265,0.007585265
3,94,19,0.006226079,0.006226079
3,94,20,0.008453994,0.008453994
3,94,21,0.006679219,0.006679219
3,94,22,0.004963591,0.004963591
3,94,23,0.004861888,0.004861888
3,95,0,0.005938503,0.005938503
3,95,1,0.008538988,0.008538988
3,95,2,0.002957994,0.002957994
3,95,3,0.00195565,0.00195565
3,95,4,0.001959158,0.001959158
3,95,5,0.003094505,0.003094505
3,95,6,0.006980277,0.006980277
3,95,7,0.002896602,0.002896602
3,95,8,0.007334112,0.007334112
3,95,9,0.010930538,0.010930538
3,95,10,0.007788511,0.007788511
3,95,11,0.004939775,0.004939775
3,95,12,0.008467539,0.008467539
3,95,13,0.006291667,0.006291667
3,95,14,0.012907457,0.012907457
3,95,15,0.009871497,0.009871497
3,95,16,0.006396489,0.006396489
3,95,17,0.012045826,0.012045826
3,95,18,0.009767451,0.009767451
3,95,19,0.007625585,0.007625585
3,95,20,0.005096583,0.005096583
3,95,21,0.0068131,0.0068131
3,95,22,0.01252218,0.01252218
3,95,23,0.008828312,0.008828312
3,96,0,0.008001548,0.008001548
3,96,1,0.011296142,0.011296142
3,96,2,0.010299448,0.010299448
3,96,3,0.009005745,0.009005745
3,96,4,0.004957469,0.004957469
3,96,5,0.00587772,0.00587772
3,96,6,0.008620185,0.008620185
3,96,7,0.008480622,0.008480622
3,96,8,0.010179673,0.010179673
3,96,9,0.008668526,0.008668526
3,96,10,0.011463096,0.011463096
3,96,11,0.007969009,0.007969009
3,96,12,0.005861973,0.005861973
3,96,13,0.01329974,0.01329974
3,96,14,0.009233427,0.009233427
3,96,15,0.009642066,0.009642066
3,96,16,0.005160729,0.005160729
3,96,17,0.00485259,0.00485259
3,96,18,0.003605722,0.003605722
3,96,19,0.009013689,0.009013689
3,96,20,0.005739667,0.005739667
3,96,21,0.001631623,0.001631623
3,96,22,0.002762295,0.002762295
3,96,23,0.000357573,0.000357573
3,97,0,0.007059065,0.007059065
