,Tleaf_C,g_sv,f_LS,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,fO3_h_out,fO3_d_out,fO3_l,c_i,Canopy_A_n
4424,16.5,640003.3098382046,1.0,33.40238966322751,35.14647353574671,33.64844811848189,42.881605392621786,A_j,0.24605845525438116,1,1.0,1.0,283.4765919311279,0.0
4425,22.28,680938.2936472198,1.0,33.61606615321108,43.14273817071827,33.994535958036,73.04634704771004,A_j,0.37846980482492404,1,1.0,1.0,288.1235914518942,0.0
4426,19.67,626466.5295685928,1.0,31.62131484085499,40.347961846016105,31.933568367498275,58.11341143083595,A_j,0.3122535266432857,1,1.0,1.0,288.1496263774027,0.0
4427,20.97,557154.6704483054,1.0,28.040250364393163,42.25845963196433,28.384041425349444,65.31511672580346,A_j,0.3437910609562803,1,1.0,1.0,291.21007590935824,0.0
4428,23.6,504226.0449006788,1.0,24.9643498664653,44.82658550653194,25.380944595176288,81.19022281736592,A_j,0.41659472871098485,1,1.0,1.0,294.992301739308,0.0
4429,22.73,510983.0813127464,1.0,25.585808748933832,44.175400395031325,25.976904388348096,75.79101211314905,A_j,0.3910956394142632,1,1.0,1.0,293.85241621794705,0.0
4430,23.17,558191.091887741,1.0,27.869465360825462,44.3315488206728,28.27327450755366,78.50869505747457,A_j,0.40380914672819757,1,1.0,1.0,292.83949978423516,0.0
4431,21.91,617238.3825930678,1.0,31.054497625551868,43.09752669653448,31.42286450514358,70.82070161079402,A_j,0.3683668795917109,1,1.0,1.0,290.33552956535164,0.0
4432,23.03,633697.0660522862,1.0,31.704603181016928,43.9137163586323,32.10432704123653,77.64075205396252,A_j,0.39972386021960227,1,1.0,1.0,290.159901117181,0.0
4433,22.46,580358.2868077699,1.0,29.482885328756353,43.53197873858662,29.86636040110039,74.13954810421633,A_j,0.3834750723440389,1,1.0,1.0,290.19041978329676,0.0
4434,17.35,432130.36574540625,1.0,23.16170253547339,37.034874268082895,23.424126766420983,46.628938068687106,A_j,0.26242423094759343,1,1.0,1.0,289.4980329645748,0.0
4435,20.37,132445.40883755768,1.0,6.571299319064254,43.19842043281135,6.900191964718655,61.92753718767234,A_j,0.32889264565440085,1,1.0,1.0,306.8035811257132,0.0
4436,18.85,15143.046685916986,1.0,-0.29373648074510045,50.14394891120808,0.0,53.84645997141742,A_j,0.29373648074510045,1,1.0,1.0,422.2670151758568,-0.0
4437,14.55,16594.249509140893,1.0,-0.21196171814938067,38.90064900594292,0.0,35.20148360225087,A_j,0.21196171814938067,1,1.0,1.0,411.73466820982867,-0.0
4438,16.41,16063.63440208337,1.0,-0.24438109865055346,43.75721842087616,0.0,42.49926611088991,A_j,0.24438109865055346,1,1.0,1.0,415.66977431497116,-0.0
4439,15.48,16372.458659324608,1.0,-0.2276470893739316,41.312635179409135,0.0,38.708019219741495,A_j,0.2276470893739316,1,1.0,1.0,413.5352820598771,-0.0
4440,13.23,16996.896010938297,0.9504196375519902,-0.1913837479144763,33.77972288193118,0.0,30.69093833380146,A_j,0.1913837479144763,1,1.0,1.0,409.242134549697,-0.0
4441,14.12,16812.104903317933,0.9504196375519902,-0.20504730750936986,35.914583950041965,0.0,33.67341195419509,A_j,0.20504730750936986,1,1.0,1.0,410.7224928980802,-0.0
4442,13.68,16969.110693859384,0.9504196375519902,-0.19818512051761297,34.8493625188219,0.0,32.16903269917261,A_j,0.19818512051761297,1,1.0,1.0,409.87110591491495,-0.0
4443,12.99,17178.302998224917,0.9504196375519902,-0.18784386803871042,33.205013153171535,0.0,29.92707753704205,A_j,0.18784386803871042,1,1.0,1.0,408.65819238426377,-0.0
4444,13.14,17157.315992324755,0.9504196375519902,-0.19004923948221072,33.55837636539299,0.0,30.402518658150925,A_j,0.19004923948221072,1,1.0,1.0,408.87571925618954,-0.0
4445,13.06,28314.377620898515,0.9504196375519902,0.5570473189597442,31.432220973715392,0.7459174449651589,30.148134979037234,A_j,0.1888701260054146,1,1.0,1.0,359.10347245148785,0.0
4446,18.36,371498.22795039765,0.9504196375519902,21.08084291456512,36.32407956748669,21.3639962414792,51.40412401425701,A_j,0.2831533269140771,1,1.0,1.0,285.2264685190634,0.0
4447,14.76,527947.0364591877,0.9504196375519902,29.733336519699975,30.459383572007216,29.948751545863324,35.968936459309454,A_j,0.2154150261633506,1,1.0,1.0,281.19634389982707,0.0
4448,16.55,606006.4831168605,0.9504196375519902,33.11687530952007,33.36387014560702,33.560282069182044,43.09520486831462,A_c,0.2469948360869479,1,1.0,1.0,281.95409593846887,0.0
4449,23.3,645510.9691424414,0.9504196375519902,33.245116055484864,41.511994233155775,33.652752553671505,79.31705074619708,A_j,0.40763649818663716,1,1.0,1.0,287.11309273468817,0.0
4450,20.01,599331.6914032998,0.9504196375519902,31.564796141413147,38.58274772774145,31.885033583464757,59.94680347718738,A_j,0.32023744205160887,1,1.0,1.0,286.33548792601266,0.0
4451,21.66,533934.6944392248,0.9504196375519902,27.848620054580042,40.65558598151165,28.21029984466507,69.33459274414034,A_j,0.36167979008502626,1,1.0,1.0,289.5517884743498,0.0
4452,25.06,481144.87627801497,0.9504196375519902,24.367287053838485,42.81616038358634,24.830080702470127,90.37716004691114,A_j,0.46279364863164385,1,1.0,1.0,294.14594855664234,0.0
4453,23.91,491701.74569828564,0.9504196375519902,25.151256198520297,42.48893236817407,25.577294982728574,83.13493087103772,A_j,0.42603878420827845,1,1.0,1.0,293.0583535387474,0.0
4454,24.49,539372.8318459046,0.9504196375519902,27.33258236356606,42.58591942506305,27.776813738005444,86.78761665747946,A_j,0.44423137443938304,1,1.0,1.0,292.6672910507203,0.0
4455,23.78,599905.4877200489,0.9504196375519902,30.390486142888196,42.18226220141226,30.812541132148088,82.3184691211124,A_j,0.42205498925989277,1,1.0,1.0,290.93624787990706,0.0
4456,24.64,614699.0179046098,0.9504196375519902,31.032499247699455,42.36055825365598,31.481548823132382,87.73316964328205,A_j,0.44904957543292606,1,1.0,1.0,290.7262176391097,0.0
4457,24.21,561885.8394530303,0.9504196375519902,28.771518669717306,42.28821948065694,29.20688128377976,85.02287264504349,A_j,0.43536261406245425,1,1.0,1.0,290.74123303232403,0.0
4458,18.01,421697.1523170841,0.9504196375519902,22.98240046597414,36.12138573517137,23.25820780317481,49.70969987611977,A_j,0.27580733720066647,1,1.0,1.0,288.65460897008836,0.0
4459,21.84,129869.75302914114,0.9504196375519902,6.500761948495207,42.672752826235794,6.867245224770743,70.40309500852415,A_j,0.3664832762755366,1,1.0,1.0,306.4912622671005,0.0
4460,19.92,14845.221657251454,0.9504196375519902,-0.3181062108692049,50.21374205328346,0.0,59.457921319905005,A_j,0.3181062108692049,1,1.0,1.0,425.5237284617107,-0.0
4461,15.03,16528.91151726587,0.9504196375519902,-0.21993018019510854,38.14588791216646,0.0,36.976390520158084,A_j,0.21993018019510854,1,1.0,1.0,412.5241088873379,-0.0
4462,17.01,15944.259765386863,0.9504196375519902,-0.2557627769784512,43.07850754463291,0.0,45.100318908348186,A_j,0.2557627769784512,1,1.0,1.0,416.9195198071113,-0.0
4463,16.02,16281.598199636475,0.9504196375519902,-0.237232014570182,40.60064204422697,0.0,40.87411826921864,A_j,0.237232014570182,1,1.0,1.0,414.5337231682853,-0.0
